objid,ra,dec,u,g,r,i,z,run,camcol,field,score,clean,class,redshift,mjd,rowv,colv,mjd_sequential,month_sin,month_cos,x_cord,y_cord,z_cord,class_GALAXY,class_QUASAR,class_STAR,r_standard,g_standard,mjd_sequential_standard,month_sin_standard,month_cos_standard,x_cord_standard,y_cord_standard,z_cord_standard
1237648722836652135,169.2342778,1.20276558,19.19686,18.05758,17.29645,16.88475,16.63058,756,6,357,0.854053,1,GALAXY,0.1525046,51984,0.001220978,-0.003887506,376,1.0,6.123233995736766e-17,-0.9821827271825303,0.18675246148819616,0.020990677749594625,1.0,0.0,0.0,0.43270392460505,0.7300696208300976,-0.6078428314255903,0.7336687706999448,0.08520711878796479,-0.6057340771032205,0.6606093520836672,0.48184554401129526
1237648721792008203,235.6883428,0.228502264,18.76105,18.65303,18.52948,18.25138,18.17807,756,4,801,0.8452527,1,QUASAR,1.694131,51663,0.001370623,0.000478259,55,0.8660254037844387,-0.4999999999999998,-0.5636896295655032,-0.8259770556913671,0.00398810628318607,0.0,1.0,0.0,1.601218706577061,1.356301703855673,-0.8083490346514506,0.44194513800504137,-0.7636920297155072,0.7056395535736628,-1.3513546026033163,-0.009070855703335308
1237648722311446659,195.9421771,0.710864239,19.28298,18.02748,17.35407,17.00374,16.72921,756,5,535,0.8140115,1,GALAXY,0.125378,51986,0.002472166,0.002875298,378,1.0,6.123233995736766e-17,-0.961465374845274,-0.27464597060681734,0.01240660320459465,1.0,0.0,0.0,0.4873091018815374,0.698413586403915,-0.6065935715924073,0.7336687706999448,0.08520711878796479,-0.5408149907258811,-0.2560391689445399,0.23399697717309761
1237648704047415410,199.7844371,-0.33865787,18.95151,17.90119,17.39108,17.06789,16.9069,752,3,376,0.8720189,1,GALAXY,0.081264,51984,-0.000131376,-0.00025145,376,1.0,6.123233995736766e-17,-0.9409563065292817,-0.33847642945378215,-0.005910660453035889,1.0,0.0,0.0,0.5223826459808558,0.5655949622284167,-0.6078428314255903,0.7336687706999448,0.08520711878796479,-0.476548575025149,-0.38284951685351026,-0.29487861939141763
1237648721756356796,154.3347609,0.384748742,19.3414,17.47451,16.53033,16.09792,15.76174,756,4,257,0.882645,1,GALAXY,0.08454417,51883,-0.001882003,-0.001978831,275,-2.4492935982947064e-16,1.0,-0.9013196310528581,0.4331025633197918,0.006715081873340236,1.0,0.0,0.0,-0.29333075805830633,0.11685752804359277,-0.6709304530013283,-1.4437860672719387,1.7830054157949091,-0.3523446363617547,1.1500268290216449,0.06966529555902076
1237648720166322390,201.3450838,-1.005006941,18.54905,17.13341,16.373,15.9425,15.65469,756,1,571,0.8269786,1,GALAXY,0.08603068,51959,-0.002132536,0.007353855,351,0.8660254037844386,0.5000000000000001,-0.9312618294775081,-0.36392823612954545,-0.017539780666881284,1.0,0.0,0.0,-0.44242885838648527,-0.24187580560326627,-0.6234585793403769,0.44194513800504115,0.9341062672914372,-0.44617034025547514,-0.4334139733491708,-0.6306469964577079
1237648722311118852,195.1063474,0.758372463,15.50503,15.66093,15.82817,15.91918,16.00278,756,5,530,0.7941496,1,STAR,0.000227438,51689,0.000816977,0.000535014,81,0.49999999999999994,-0.8660254037844387,-0.9653591966132213,-0.26058863654462605,0.013235709957865511,0.0,0.0,1.0,-0.9587519881252687,-1.7904763893861204,-0.7921086568200725,-0.35505864828599676,-1.385129336922007,-0.553016518584089,-0.22811182116574721,0.25793583272203374
1237648721233444962,186.2541662,-0.052481162,17.25184,16.18772,15.88171,15.78729,15.78902,756,3,470,0.896279,1,STAR,8.58267e-05,54140,0.002601909,-0.000204388,2532,0.8660254037844386,0.5000000000000001,-0.9940480024555824,-0.10893911058458225,-0.0009159689440896296,0.0,0.0,1.0,-0.9080133350294143,-1.2364537191081086,0.7388592687456084,0.44194513800504115,0.9341062672914372,-0.6429146404205208,0.07316643211032232,-0.1506665525225076
1237648704055214227,217.6181342,-0.23442685,19.51428,18.67359,18.61282,18.63047,18.35689,752,3,495,0.8682254,1,QUASAR,2.62735,55621,0.004301373,0.003349893,4013,1.0,6.123233995736766e-17,-0.7920898617655386,-0.6103907850243014,-0.004091508971878932,0.0,1.0,0.0,1.6801981490314595,1.3779245632510977,1.663936175217568,0.7336687706999448,0.08520711878796479,-0.0100664961870424,-0.9230548460054042,-0.24235413523150784
1237648705132233067,225.2091807,0.432996689,18.52141,17.56177,17.26736,17.10192,17.00217,752,5,545,0.8766097,1,GALAXY,0.03575706,51990,0.006580366,0.02367324,382,1.0,6.123233995736766e-17,-0.7045003859260931,-0.7096633679254102,0.00755714593942835,1.0,0.0,0.0,0.40513598626813535,0.2086284770146434,-0.6040950519260415,0.7336687706999448,0.08520711878796479,0.26440046538223116,-1.1202771596612353,0.0939782684801902
1237648720164618489,197.4125545,-0.889716962,18.2249,16.9313,16.4719,16.29413,16.08992,756,1,545,0.824341,0,GALAXY,0.01778415,51986,0.01276435,0.005592334,378,1.0,6.123233995736766e-17,-0.9540597408941235,-0.2992137967612002,-0.015527866330728597,1.0,0.0,0.0,-0.3487035541059467,-0.4544339822768742,-0.6065935715924073,0.7336687706999448,0.08520711878796479,-0.517608985328699,-0.30484744383840795,-0.5725568573049533
1237648722307317905,186.5102517,0.777807843,18.6582,17.62311,16.99474,16.58331,16.36042,756,5,472,0.8636551,1,GALAXY,0.08331353,51990,0.00143885,-0.004279997,382,1.0,6.123233995736766e-17,-0.9934600358841635,-0.11337054043922147,0.013574890848750952,1.0,0.0,0.0,0.14678014751221735,0.2731394787323185,-0.6040950519260415,0.7336687706999448,0.08520711878796479,-0.6410722113294111,0.06436262321168522,0.26772902560079614
1237648722305744932,182.9127855,0.787190409,19.05321,17.99524,17.57333,17.41097,17.33611,756,5,448,0.8699969,1,STAR,0.000230465,54922,4.366124e-05,-0.000199514,3314,0.8660254037844387,-0.4999999999999998,-0.9986137850233203,-0.05081100614442051,0.013738632245947804,0.0,0.0,1.0,0.6950968694907451,0.6645069236165349,1.2273198635201341,0.44194513800504137,-0.7636920297155072,-0.6572217984043184,0.18864805766182638,0.27245674207326814
1237648722831409299,157.3482802,1.162971637,19.46144,18.2571,17.75843,17.46453,17.31939,756,6,277,0.849116,1,GALAXY,0.09728704,51957,-0.002848897,-0.002259973,349,0.8660254037844386,0.5000000000000001,-0.9226728436343871,0.38504919713456165,0.020296290440946038,1.0,0.0,0.0,0.8705119738621081,0.9399039061693581,-0.6247078391735598,0.44194513800504115,0.9341062672914372,-0.41925622957345526,1.0545604295280127,0.46179645212876597
1237648722832654442,160.1265952,1.126828522,19.40884,18.17833,17.69728,17.3719,17.25206,756,6,296,0.8456578,1,GALAXY,0.08348634,51913,-0.002976962,0.004480433,305,0.49999999999999994,0.8660254037844387,-0.9402641513105827,0.3398773160064035,0.019665600028294632,1.0,0.0,0.0,0.8125614950273757,0.8570618519583816,-0.6521915555035843,-0.35505864828599676,1.5555435744979365,-0.47437966445695623,0.9648186030545723,0.44358648504672415
1237648703510872254,200.6241417,-0.777419541,19.45424,17.0256,15.91278,15.48616,15.22603,752,2,381,0.8437425,1,STAR,-0.000123804,54970,0.000331934,0.001810286,3362,0.49999999999999994,-0.8660254037844387,-0.9358250517590846,-0.3522036041464986,-0.013568114324514479,0.0,0.0,1.0,-0.8785689952518987,-0.35525909701478314,1.2573020995165245,-0.35505864828599676,-1.385129336922007,-0.46046947542652344,-0.4101209454165428,-0.5159728046441603
1237646382080000397,95.66534099,0.880276948,18.3962,16.77513,16.34279,16.14446,15.98003,211,6,365,0.8010535,1,STAR,0.000216307,52931,0.002653744,-0.001824925,1323,-0.8660254037844386,0.5000000000000001,-0.09870615806743027,0.9949980244698093,0.015363126659122282,0.0,0.0,1.0,-0.47105819551808364,-0.6186772678694578,-0.016318300413472844,-3.3295172725489173,0.9341062672914372,2.162693604632782,2.266330239713691,0.3193608795002288
1237648704050168000,206.1670456,-0.358781442,18.86939,16.88241,15.819,15.28006,14.84171,752,3,418,0.908645,1,GALAXY,0.1015711,51943,-0.002509678,-0.005891212,335,0.8660254037844386,0.5000000000000001,-0.8974945625923351,-0.4409810642413765,-0.006261876534722172,1.0,0.0,0.0,-0.9674421907567395,-0.5058513750707619,-0.6334526580058404,0.44194513800504115,0.9341062672914372,-0.34035855118322683,-0.5864928657265208,-0.30501930515086
1237648722304761998,180.7036722,0.691482636,19.4606,17.4721,16.52113,16.09818,15.77304,756,5,433,0.8591585,1,GALAXY,0.08188177,51930,0.001167457,0.00063965,322,0.49999999999999994,0.8660254037844387,-0.999851764830069,-0.0122801936343056,0.012068355749665523,1.0,0.0,0.0,-0.30204939101463535,0.11432294189850901,-0.6415728469215294,-0.35505864828599676,1.5555435744979365,-0.661101083589964,0.26519624214750503,0.22423073545404318
1237648703513493743,206.5766774,-0.801586179,19.14205,17.96772,17.45321,17.09447,16.88161,752,2,421,0.9023971,1,GALAXY,0.088566,51671,-0.000115712,0.002405944,63,0.49999999999999994,-0.8660254037844387,-0.8942489034916316,-0.4473512963814362,-0.013989861681337557,1.0,0.0,0.0,0.5812618487609349,0.6355642635697412,-0.8033519953187188,-0.35505864828599676,-1.385129336922007,-0.3301880805516561,-0.5991484437770974,-0.5281499446967574
1237648702973018313,198.411992,-1.107010579,19.33042,17.95185,17.43846,17.27088,17.16031,752,1,366,0.8438424,1,STAR,0.000337601,56727,0.000249668,-0.002971744,5119,1.0,6.123233995736766e-17,-0.9486328355739482,-0.31578867850578274,-0.0193197773926609,0.0,0.0,1.0,0.5672836057059513,0.6188738560500239,2.3547768629677286,0.7336687706999448,0.08520711878796479,-0.5006034467103043,-0.33777633951844427,-0.682040962708634
1237648720686153764,162.3820105,-0.433749396,17.5054,15.80306,15.14073,14.883,14.74835,756,2,311,0.8301958,1,STAR,8.628731e-05,54208,-0.00146304,0.001055054,2600,0.8660254037844387,-0.4999999999999998,-0.9530683729627295,0.30266048185519734,-0.007570282779087121,0.0,0.0,1.0,-1.6102234054621056,-1.640998908555782,0.781334103073828,0.44194513800504137,-0.7636920297155072,-0.5145024734867321,0.8908808659297308,-0.3427970074305881
1237646382079541912,94.59326567,0.948959742,19.05359,17.62755,17.16829,16.96772,16.8418,211,6,358,0.8065355,1,STAR,9.675207e-05,52931,0.001306608,-0.002248608,1323,-0.8660254037844386,0.5000000000000001,-0.08007078255935397,0.9966515837466766,0.01656171475342699,0.0,0.0,1.0,0.31124957681340315,0.27780900673405307,-0.016318300413472844,-3.3295172725489173,0.9341062672914372,2.2210886897087536,2.269615323840853,0.35396779488119823
1237648705130856994,222.0699747,0.632685808,19.55005,19.45104,19.55948,19.68855,19.8034,752,5,524,0.8911089,1,GALAXY,0.5843571,52027,0.001864625,-0.001862326,419,0.8660254037844387,-0.4999999999999998,-0.7422818120451964,-0.6699968512988078,0.011042226070097489,1.0,0.0,0.0,2.577326526687823,2.1955652265280023,-0.5809837450121572,0.44194513800504137,-0.7636920297155072,0.14601006366693403,-1.041472700714508,0.1946032235844946
1237648721789124883,229.1124865,0.38425521,18.64376,16.75514,15.87734,15.45431,15.12937,756,4,757,0.8719137,1,GALAXY,0.05289865,51689,0.000829829,-0.001492537,81,0.49999999999999994,-0.8660254037844387,-0.6545613541111267,-0.7559791379310868,0.006706468308936655,1.0,0.0,0.0,-0.9121546856836704,-0.6397006608322274,-0.7921086568200725,-0.35505864828599676,-1.385129336922007,0.4208874656137407,-1.2122915210521372,0.06941659552949461
